License Serial Number,License Type Name,,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Borough,Premises Name,Name,Address,Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude
1301249,FARM BREWER,Brewery,106,FD,New York City,1,KINGS,Brooklyn,544 MANHATTAN AVE CORP,544 Manhattan Ave Corp,7 N 15th St,,BROOKLYN,NY,11222,901202,8/16/17,8/1/18,7/31/19,40.72499,-73.95726
1300575,RESTAURANT BREWER,Brewery,210,MR,New York City,1,QUEENS,Queens,ALEWIFE BREWING COMPANY LLC,Alewife,5-14 51St Ave,,LONG ISLAND CITY,NY,11101,882760,4/17/18,4/17/18,3/31/21,40.74228,-73.95611
1287765,"FARM DISTILLER ""D""",Distillery,207,DD,New York City,1,QUEENS,Queens,ASTORIA DISTILLING COMPANY LLC,Astoria Distilling Company,31-00 47th Ave Suite 1150A,STE 1150A,LONG ISLAND CITY,NY,11101,888742,2/29/16,2/28/17,1/31/20,40.74302,-73.93577
1285158,"DISTILLER ""A-1""",Distillery,206,DA,New York City,1,KINGS,Brooklyn,BEN FRANKLIN DISTILLERY LLC,Ben Franklin Distillery,"5304 New Utrecht Ave, Unit 317-320",UNIT 317-320,BROOKLYN,NY,11219,855055,12/2/15,12/2/15,11/30/18,40.63313,-73.99545
1308030,WINERY,Winery,301,DW,New York City,1,KINGS,Brooklyn,ARON ROSENBERG ENTERPRISES LLC,Ben Ish Winery,3711 13th Ave,,BROOKLYN,NY,11218,898059,3/19/18,3/19/18,3/31/20,40.64141,-73.98527
1279306,FARM BREWER,Brewery,106,FD,New York City,1,QUEENS,Queens,BIG ALICE BREWING COMPANY LLC,Big Alice Brewing Company,808 43rd Rd,,LONG ISLAND CITY,NY,11101,908902,10/20/14,10/5/18,9/30/19,0,0
1244241,RESTAURANT BREWER,Brewery,210,MR,New York City,1,NEW YORK,Manhattan,LSEBG LLC,"Birreria, Sabbia & Baita",200 5th Avenue,,NEW YORK,NY,10010,897575,5/24/11,11/15/17,4/30/20,40.74286028,-73.98868674
1310132,MICRO BREWER,Brewery,101,MI,New York City,1,KINGS,Brooklyn,BRAVEN BREWING COMPANY LLC,Braven Brewing Company,52 Harrison Pl,,BROOKLYN,NY,11237,999999,8/14/18,8/14/18,7/31/21,40.70634,-73.93136
1286895,MICRO BREWER,Brewery,101,MI,New York City,1,QUEENS,Queens,BRIDGE AND TUNNEL BREWERY LLC,Bridge And Tunnel Brewery,1535 Decatur St,,RIDGEWOOD,NY,11385,908917,11/3/15,11/1/18,10/31/19,40.69387,-73.90249
1273115,MICRO BREWER,Brewery,101,MI,New York City,1,BRONX,Bronx,"BRONX BREWERY LLC, THE","Bronx Brewery, The",856 E 136th St,,BRONX,NY,10454,894176,1/30/14,1/1/18,12/31/18,40.80224555,-73.91071904
1304265,WINERY,Winery,301,DW,New York City,1,KINGS,Brooklyn,GOTHAM SAKE LLC,Brooklyn Kura,"68 34th St, Suite B24",BLDG 6 STE B24,BROOKLYN,NY,11232,894946,10/16/17,10/16/17,9/30/20,40.75924,-73.92449
1297848,"DISTILLER ""B-1""",Distillery,205,DB,New York City,1,KINGS,Brooklyn,BROOKLYN SPIRITS LLC,Brooklyn Spirits,1827 Pacific St,,BROOKLYN,NY,11233,886343,1/26/17,1/26/17,8/31/19,40.67662,-73.92881
1244749,WINERY,Winery,301,DW,New York City,1,KINGS,Brooklyn,BROOKLYN WINERY LLC,Brooklyn Winery,213 N 8th Street,DRIGGS & ROEBLING,BROOKLYN,NY,11211,875202,1/7/11,1/1/16,12/31/18,40.71721959,-73.95512328
1283074,MICRO BREWER,Brewery,101,MI,New York City,1,BRONX,Bronx,CHELSEA CRAFT BREWING COMPANY LLC,Chelsea Brewing Company,463 E 173d St,STORE 2,BRONX,NY,10457,895213,11/19/15,11/2/17,10/31/18,40.84181,-73.90159
1294718,RESTAURANT BREWER,Brewery,210,MR,New York City,1,KINGS,Brooklyn,141 LAWRENCE REST LLC,Circa Brewing Company,141 Lawrence St,,BROOKLYN,NY,11201,881661,7/19/17,7/19/17,6/30/20,40.69198,-73.9862
1292888,WINERY,Winery,301,DW,New York City,1,NEW YORK,Manhattan,CITY VINEYARD LLC,City Vineyard,233 West St,Pier 26,NEW YORK,NY,10013,864289,9/12/16,9/12/16,8/31/19,40.72132,-74.01234
1210608,WINERY,Winery,301,DW,New York City,1,NEW YORK,Manhattan,CITY WINERY NEW YORK LLC,City Winery,143 Varick St,SPRING & VANDAM,NEW YORK,NY,10013,886995,12/24/08,12/1/16,11/30/19,40.72592994,-74.00579236
1281413,BREWER,Brewery,101,D,New York City,1,KINGS,Brooklyn,AMERICAN CRAFT BREWERY LLC,Coney Island Brewing Company,1904 Surf Ave Retail #3,,BROOKLYN,NY,11224,902662,6/23/15,7/1/18,6/30/19,40.57504,-73.98557
1301584,RESTAURANT BREWER,Brewery,210,MR,New York City,1,RICHMOND,Staten Island,CRAFT HOUSE INC,Craft House,60 62 Van Duzer St,,STATEN ISLAND,NY,10301,865437,5/22/17,5/22/17,4/30/20,0,0
1273119,RESTAURANT BREWER,Brewery,210,MR,New York City,1,NEW YORK,Manhattan,GASTROMARKET LTD,Death Avenue,313 317 10th Ave,,NEW YORK,NY,10001,881769,8/4/14,8/15/17,7/31/20,0,0
1299025,"DISTILLER ""A-1""",Distillery,206,DA,New York City,1,KINGS,Brooklyn,DOC'S SPIRITS LLC,Doc Herson's Natural Spirits,"630 Flushing Ave, Suite 628",STE 628,BROOKLYN,NY,11206,886398,2/10/17,2/10/17,1/31/20,40.69989,-73.94819
1295133,MICRO BREWER,Brewery,101,MI,New York City,1,QUEENS,Queens,DSCC VENTURES LLC,Fifth Hammer Brewing Company,10-28 10-36 46th Ave,,LONG ISLAND CITY,NY,11101,896101,3/13/17,3/1/18,2/28/19,0,0
1272032,MICRO BREWER,Brewery,101,MI,New York City,1,QUEENS,Queens,NARWHAL LLC,Finback,76-01 77th Ave,,GLENDALE,NY,11385,908933,11/21/13,11/1/18,10/31/19,40.70654158,-73.87340502
1298020,"DISTILLER ""B-1""",Distillery,205,DB,New York City,1,KINGS,Brooklyn,COUNTRY HONK LLC,Firma Legal,"1027 Grand St, Studio A",BASEMENT LEVEL STUDIO A,BROOKLYN,NY,11211,889266,5/2/17,5/2/17,4/30/20,40.71364,-73.93423
1293083,MICRO BREWER,Brewery,101,MI,New York City,1,KINGS,Brooklyn,5 BOROUGHS BREWERY INC,Five Boroughs Brewing Co,215 47th St,,BROOKLYN,NY,11220,895629,1/26/17,1/1/18,12/31/20,40.65059,-74.01478
1276638,MICRO BREWER,Brewery,101,MI,New York City,1,KINGS,Brooklyn,FOLKSBIER BRAUEREI LLC,Folksbier,103 Luquer St,,BROOKLYN,NY,11231,899013,5/5/14,5/1/18,4/30/19,40.6779,-74.00099
1286188,"DISTILLER ""A-1""",Distillery,206,DA,New York City,1,KINGS,Brooklyn,BITTER THIEVES LLC,Forthave Spirits,630 Flushing Ave,,BROOKLYN,NY,11206,902635,9/1/15,9/1/18,8/31/21,40.69994,-73.94827
1275362,WINERY,Winery,301,DW,New York City,1,KINGS,Brooklyn,GOBLET WINE INC,Goblet,6010 20th Ave,,BROOKLYN,NY,11204,892457,7/21/14,7/1/17,6/30/20,40.61930923,-73.98296096
1260024,"FARM DISTILLER ""D""",Distillery,207,DD,New York City,1,KINGS,Brooklyn,GREEN FARMS II LLC,Greenhook Ginsmiths,208 Dupont St,,BROOKLYN,NY,11222,888000,1/2/13,1/24/17,12/31/19,40.73619511,-73.95179315
