name,taproom,website,address,neighborhood,boro,lat,lon,logo,beers,dogs,tours,sun,mon,tue,wed,thu,fri,sat
Alewife Brewing Company,y,<a href='https://www.alewife.beer/' target='_blank'>website</a>,5-14 51st Ave,Long Island City,Queens,40.74228,-73.95611,./images/logos/alewife.png,<a href='https://www.alewife.beer/blank-page-1' target='_blank'>beers</a>,,,11am - 1am,4pm - 1am,4pm - 1am,4pm - 1am,4pm - 1am,4pm - 3am,11am - 3am
Big aLICe Brewing,y,<a href='https://www.bigalicebrewing.com/' target='_blank'>website</a>,8-08 43rd Rd,Long Island City,Queens,40.7520843,-73.950597,./images/logos/alice.jpg,<a href='https://www.bigalicebrewing.com/menu' target='_blank'>beers</a>,,,12pm - 8pm,closed,closed,5pm - 10pm,5pm - 10pm,3pm - 11pm,12pm - 11pm
Big aLICe Brewing Barrel Room,y,<a href='https://www.bigalicebrewing.com/' target='_blank'>website</a>,52 34th St,Industry City,Brooklyn,40.657391,-74.0089428,./images/logos/alice.jpg,<a href='https://www.bigalicebrewing.com/barrel-program' target='_blank'>beers</a>,,,11am - 8pm,11am - 10pm,11am - 10pm,11am - 10pm,11am - 10pm,11am - 11pm,11am - 11pm
Braven Brewing Company,n,<a href='https://www.bravenbrewing.com/' target='_blank'>website</a>,52 Harrison Pl,East Williamsburg,Brooklyn,40.70634,-73.93136,./images/logos/braven.png,<a href='https://www.bravenbrewing.com/beer/' target='_blank'>beers</a>,,,,,,,,,
Bridge and Tunnel Brewery,y,<a href='http://www.bridgeandtunnelbrewery.com/' target='_blank'>website</a>,1535 Decatur St,Ridgewood,Queens,40.69387,-73.90249,./images/logos/bridgetunnel.png,<a href='http://www.bridgeandtunnelbrewery.com/beer.html' target='_blank'>beers</a>,,,1pm - 9pm,closed,closed,5pm - 10pm,5pm - 10pm,5pm - 10pm,1pm - 9pm
Brooklyn Brewery,y,<a href='http://brooklynbrewery.com/' target='_blank'>website</a>,79 N 11th St,Williamsburg,Brooklyn,40.72174011,-73.95797497,./images/logos/brooklyn.png,<a href='http://brooklynbrewery.com/brooklyn-beers/perennial-brews' target='_blank'>beers</a>,,,12pm - 8pm,8pm - 11pm,5pm - 11pm,5pm - 11pm,5pm - 11pm,5pm - 12am,12pm - 12am
Circa Brewing Co.,y,<a href='http://circabrewing.co/' target='_blank'>website</a>,141 Lawrence St,Downtown,Brooklyn,40.69198,-73.9862,./images/logos/circa.png,<a href='http://circabrewing.co/#menu' target='_blank'>beers</a>,,,11am - 12am,11:30am - 12am,11:30am - 12am,11:30am - 12am,11:30am - 12am,11:30am - 2am,11am - 2am
Coney Island Brewing Co.,y,<a href='http://coneyislandbeer.com/' target='_blank'>website</a>,1904 Surf Ave Retail #3,Coney Island,Brooklyn,40.57504,-73.98557,./images/logos/coney.jpg,<a href='http://coneyislandbeer.com/beers/' target='_blank'>beers</a>,,,12pm - 8pm,closed,closed,closed,closed,12pm - 8pm,12pm - 8pm
Evil Twin Brewing NYC,y,<a href='https://eviltwin.nyc/' target='_blank'>website</a>,1616 George St,Ridgewood,Queens,40.6963352,-73.9063333,./images/logos/eviltwin.png,<a href='https://eviltwin.nyc/beers/' target='_blank'>beers</a>,,,12pm - 6pm,closed,5pm - 9pm,5pm - 9pm,5pm - 9pm,5pm - 9pm,12pm - 6pm
Fifth Hammer Brewing Co.,y,<a href='http://www.fifthhammerbrewing.com/' target='_blank'>website</a>,10-28 46th Ave,Long Island City,Queens,40.7465533,-73.951515,./images/logos/fifthhammer.png,<a href='http://www.fifthhammerbrewing.com/beer-menu/' target='_blank'>beers</a>,,,12pm - 9pm,4pm - 10pm,4pm - 10pm,4pm - 11pm,4pm - 12am,3pm - 1am,12pm - 1am
Finback Brewery,y,<a href='http://www.finbackbrewery.com/home.html' target='_blank'>website</a>,76-01 77th Ave,Glendale,Queens,40.70654158,-73.87340502,./images/logos/finback.png,<a href='http://www.finbackbrewery.com/ales.html' target='_blank'>beers</a>,,,12pm - 8pm,closed,5pm - 10pm,5pm - 10pm,5pm - 10pm,5pm - 10pm,12pm - 10pm
Five Boroughs Brewing Co.,y,<a href='https://www.fiveboroughs.com/' target='_blank'>website</a>,215 47th St,Industry City,Brooklyn,40.65059,-74.01478,./images/logos/fiveboroughs.jpg,<a href='https://www.fiveboroughs.com/beer/' target='_blank'>beers</a>,,,12pm - 10pm,closed,closed,closed,4pm - 10pm,4pm - 11pm,12pm - 11pm
Flagship Brewing Co.,y,<a href='http://www.flagshipbrewery.nyc/' target='_blank'>website</a>,38-40 Minthorne St,Tompkinsville,Staten Island,40.63715,-74.07552,./images/logos/flagship.png,<a href='http://www.flagshipbrewery.nyc/index.php#' target='_blank'>beers</a>,,,12pm - 8pm,closed,2pm - 10pm,2pm - 10pm,12pm - 12am,12pm - 12am,12pm - 12am
